0,204,2013-03-06 11:30:01,0
0,000,2013-03-06 11:30:02,0
2,F12,2013-03-06 11:30:02,20
0,2JP,2013-03-06 11:30:03,0
1,2JP,2013-03-06 11:30:03,0
0,2JP,2013-03-06 11:30:03,0
1,2JP,2013-03-06 11:30:03,0
0,444,2013-03-06 11:30:04,0
0,000,2013-03-06 11:30:23,0
1,000,2013-03-06 11:31:35,0
0,101,2013-03-06 11:31:42,0
2,101,2013-03-06 11:31:47,40
1,101,2013-03-06 11:31:49,0
0,000,2013-03-06 11:32:01,0
1,000,2013-03-06 11:32:38,0
0,000,2013-03-06 11:35:35,0
1,000,2013-03-06 11:35:45,0
0,101,2013-03-06 11:35:52,0
1,101,2013-03-06 11:35:59,0
0,000,2013-03-07 11:04:30,0
1,000,2013-03-07 11:04:44,0
0,000,2013-03-25 13:51:20,0
1,000,2013-03-25 13:51:53,0
0,101,2014-02-11 11:26:36,0
1,101,2014-02-11 11:28:13,0
0,101,2014-02-24 09:14:59,0
2,101,2014-02-24 09:15:12,80
1,101,2014-02-24 09:16:00,0
0,000,2014-02-24 09:16:12,0
1,000,2014-02-24 09:20:17,0
0,000,2015-02-25 17:09:17,0
1,000,2015-02-25 17:09:41,0
0,101,2016-03-24 16:26:09,0
1,101,2016-03-24 16:29:44,0
0,101,2017-02-21 13:34:27,0
1,101,2017-02-21 13:34:43,0
0,101,2017-02-24 07:54:02,0
1,101,2017-02-24 07:54:07,0
0,000,2017-02-24 07:54:26,0
1,000,2017-02-24 07:55:01,0
0,000,2018-02-26 14:46:07,0
1,000,2018-02-26 14:47:06,0
0,000,2019-02-21 14:42:36,0
1,000,2019-02-21 14:43:06,0
0,000,2020-02-20 14:16:27,0
1,000,2020-02-20 14:17:21,0
0,000,2020-02-26 12:02:59,0
1,000,2020-02-26 12:03:04,0
